Drug_Name,MolecularFormula,MolecularWeight,SMILES,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Charge,ExactMass,RDKit_MolWt,RDKit_LogP,RDKit_TPSA,RDKit_HDonor,RDKit_HAcceptor,RDKit_Rotatable,RDKit_RingCount,RDKit_AromaticRings,FP_0,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42,FP_43,FP_44,FP_45,FP_46,FP_47,FP_48,FP_49,FP_50,FP_51,FP_52,FP_53,FP_54,FP_55,FP_56,FP_57,FP_58,FP_59,FP_60,FP_61,FP_62,FP_63,FP_64,FP_65,FP_66,FP_67,FP_68,FP_69,FP_70,FP_71,FP_72,FP_73,FP_74,FP_75,FP_76,FP_77,FP_78,FP_79,FP_80,FP_81,FP_82,FP_83,FP_84,FP_85,FP_86,FP_87,FP_88,FP_89,FP_90,FP_91,FP_92,FP_93,FP_94,FP_95,FP_96,FP_97,FP_98,FP_99,FP_100,FP_101,FP_102,FP_103,FP_104,FP_105,FP_106,FP_107,FP_108,FP_109,FP_110,FP_111,FP_112,FP_113,FP_114,FP_115,FP_116,FP_117,FP_118,FP_119,FP_120,FP_121,FP_122,FP_123,FP_124,FP_125,FP_126,FP_127
leflunomide,C12H9F3N2O2,270.21,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,2.5,55.1,327,1,6,2,19,0,270.06161202,270.21,3.2541200000000012,55.13,1,3,2,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
letrozole,C17H11N5,285.3,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,2.7,78.3,420,0,4,3,22,0,285.10144537,285.31,2.659160000000001,78.29,0,4,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leuprorelin,C59H84N16O12,1209.4,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,0.7,432.0,2390,15,14,32,87,0,1208.64546218,1209.4210000000005,-1.438100000000009,431.53999999999985,15,14,32,6,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1
levobunolol,C17H25NO3,291.4,CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O,2.4,58.6,350,2,4,6,21,0,291.18344366,291.391,2.3334000000000006,58.56,2,4,5,2,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
levocabastine,C26H29FN2O2,420.5,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,2.5,64.3,681,1,5,4,31,0,420.22130633,420.52800000000025,4.894080000000004,64.33000000000001,1,3,4,4,2,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0
levomepromazine,C19H24N2OS,328.5,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,4.7,41.0,378,0,4,5,23,0,328.16093457,328.48100000000005,4.495600000000005,15.71,0,4,5,3,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
dextrorphan,C17H23NO,257.37,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,3.1,23.5,357,1,2,0,19,0,257.177964357,257.377,3.0804000000000022,23.47,1,2,0,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
lincomycin,C18H34N2O6S,406.5,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,0.2,148.0,498,5,8,7,27,0,406.21375798,406.54500000000013,-0.8569999999999969,122.49000000000002,5,8,7,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
linezolid,C16H20FN3O4,337.35,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,0.7,71.1,472,1,6,4,24,0,337.14378429,337.35100000000017,1.1235999999999995,71.11,1,5,4,3,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0
Lisinopril,C21H31N3O5,405.5,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,-2.9,133.0,550,4,7,12,29,0,405.2263711,405.49500000000006,1.2352000000000014,132.96,4,5,12,2,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
