CID100000085	CID000010917	C0036572	PT	C0036572	Convulsion
CID100000085	CID000010917	C0037199	LLT	C0037199	Sinusitis
CID100000085	CID000010917	C0037199	PT	C0037199	Sinusitis
CID100000085	CID000010917	C0039231	LLT	C0039231	Tachycardia
CID100000085	CID000010917	C0039231	PT	C0039231	Tachycardia
CID100000085	CID000010917	C0042029	LLT	C0042029	Urinary tract infection
CID100000085	CID000010917	C0042029	PT	C0042029	Urinary tract infection
CID100000085	CID000010917	C0042373	LLT	C0042373	Angiopathy
CID100000085	CID000010917	C0042373	PT	C0042373	Angiopathy
CID100000085	CID000010917	C0042571	LLT	C0042571	Vertigo
CID100000085	CID000010917	C0042571	PT	C0042571	Vertigo
CID100000085	CID000010917	C0042963	LLT	C0042963	Vomiting
CID100000085	CID000010917	C0042963	PT	C0042963	Vomiting
CID100000085	CID000010917	C0043094	LLT	C0043094	Weight increased
CID100000085	CID000010917	C0043094	PT	C0043094	Weight increased
CID100000085	CID000010917	C0043096	LLT	C0043096	Weight decreased
CID100000085	CID000010917	C0043096	PT	C0043096	Weight decreased
CID100000085	CID000010917	C0085595	LLT	C0085595	Body odor
CID100000085	CID000010917	C0085595	PT	C0234930	Skin odour abnormal
CID100000085	CID000010917	C0085649	LLT	C0085649	Oedema peripheral
CID100000085	CID000010917	C0085649	PT	C0085649	Oedema peripheral
CID100000085	CID000010917	C0151735	LLT	C0151735	Injection site reaction
CID100000085	CID000010917	C0151735	PT	C0151735	Injection site reaction
CID100000085	CID000010917	C0151736	LLT	C0151736	Accidental injury
CID100000085	CID000010917	C0151736	PT	C3263723	Injury
CID100000085	CID000010917	C0152020	LLT	C0152020	Gastric atony
CID100000085	CID000010917	C0152020	PT	C0522063	Impaired gastric emptying
CID100000085	CID000010917	C0152020	PT	C0152020	Gastric atony
CID100000085	CID000010917	C0231528	LLT	C0231528	Myalgia
CID100000085	CID000010917	C0231528	PT	C0231528	Myalgia
CID100000085	CID000010917	C0231528	PT	C0948594	Musculoskeletal discomfort
CID100000085	CID000010917	C0426576	LLT	C0426576	Gastrointestinal symptom NOS
CID100000085	CID000010917	C0426576	PT	C0017178	Gastrointestinal disorder
CID100000085	CID000010917	C0522055	LLT	C0522055	Electrocardiogram abnormal
CID100000085	CID000010917	C0522055	PT	C0522055	Electrocardiogram abnormal
CID100000085	CID000010917	C0546817	LLT	C0546817	Fluid overload
CID100000085	CID000010917	C0546817	PT	C0546817	Fluid overload
CID100000085	CID000010917	C0917801	LLT	C0917801	Insomnia
CID100000085	CID000010917	C0917801	PT	C0917801	Insomnia
CID100000085	CID000010917	C0947912	LLT	C0947912	Myasthenia
CID100000085	CID000010917	C0947912	PT	C0151786	Muscular weakness
CID100000085	CID000010917	C1510472	LLT	C1510472	Drug dependence
CID100000085	CID000010917	C1510472	PT	C1510472	Drug dependence
